"ЭНРОМАГ® (ENROMAG) раствор д/инъекций 50 мг";"Раствор"
"ЭНРОМАГ® (ENROMAG) раствор д/инъекций 100 мг";"Раствор"
"ЭНДОМЕТРАМАГ-БИО® (ENDOMETRAMAG-BIO)";"Раствор"
"ЦИПРОМАГ®-О (CIPROMAG-O)";"Раствор для перорального применения"
"ЦЕФТИМАГ® (CEFTIMAG) сусп. д/инъекций";"Суспензия для инъекций"
"ФОЛЛИМАГ® (FOLLIMAG) лиофилизат д/пригот. р-ра д/инъекций 500";"Лиофилизат для приготовления раствора для инъекций"
"ФОЛЛИМАГ® (FOLLIMAG) лиофилизат д/пригот. р-ра д/инъекций 1000";"Лиофилизат для приготовления раствора для инъекций"
"СУПРИМИЦИН® (SUPRIMYCIN) раствор д/инъекций";"Раствор для инъекций"
"ПНЕВМОСТОП® (PNEUMOSTOP) раствор д/инъекций";"Раствор для инъекций"
"ПИГУЛИН® (PIGULIN®) 1 доза";"Лиофильно высушенная масса для приготовления раствора для инъекций"
"ПИГУЛИН® (PIGULIN®) 5 доз";"Лиофильно высушенная масса для приготовления раствора для инъекций"
"МИКСОФЕРОН® РАСТВОР ДЛЯ ИНЪЕКЦИЙ (MIXOFERON® SOLUTIO PRO INJECTIONIBUS) раствор д/инъекций 5 доз";"Раствор для инъекций"
"МИКСОФЕРОН® РАСТВОР ДЛЯ ИНЪЕКЦИЙ (MIXOFERON® SOLUTIO PRO INJECTIONIBUS) раствор д/инъекций 10 доз";"Раствор для инъекций"
"МЕТРАМАГ® (METRAMAG) раствор д/инъекций";"Раствор"
"МАГЭСТРОФАН® (MAGESTROFAN) раствор д/инъекций";"Раствор для инъекций"
"МАГКОЛИСТИН® (MAGCOLISTIN) раствор д/перорального применения";"Раствор для перорального применения"
"КОМУЛИН (COMULIN) раствор д/инъекций";"Раствор для инъекций"
"ДОКСИМАГ®-О (DOXYMAG-O)";"Раствор"
"БРОМКОЛИН®-О (BROMCOLIN-O) раствор д/перорального применения";"Раствор"
"БАКТИМАГ-О® (BACTIMAG-O) раствор д/перорального применения";"Раствор для перорального применения"
"АЦИЛОМАГ® (ACILOMAG) сусп. д/инъекций";"Суспензия"
"АМОКСИМАГ® (AMOXIMAG) сусп. д/инъекций";"Суспензия для инъекций"
"АРГУМИСТИН® (ARGUMISTIN®) раствор д/приема внутрь и местного применения 0.001%";"Раствор для местного и перорального применения"
"АРГУМИСТИН® (ARGUMISTIN®) раствор д/приема внутрь и местного применения 0.005%";"Раствор для местного, наружного, внутриматочного и интрацистернального применения"
"ЭЛЬВИТА-УДИВИТ (ALVITA-UDIVIT)";"Раствор для инъекций"
"СОМАТИК-ЭКСПЕРТ (SOMATIC-EXPERT)";"Раствор для диагностики"
"ЦИФЛОН (CIFLON) раствор д/наружного применения";"Раствор для наружного применения"
"ФЛУКСИРОЛ (FLUXIROL) раствор д/инъекций";"Раствор для инъекций"
"ТЕТРАВИТФЕРОН-Б (TETRAVITFERON-B) раствор д/инъекций";"Раствор для инъекций"
"УТЕРОФУР (UTEROFUR) сусп. д/инъекций";"Суспензия для внутриматочного введения"
"РЕЦЕФУР (RECEFUR) сусп. д/инъекций";"Суспензия для инъекций"
"ПЕНОЦЕФУР (PENOCEFUR)";"Таблетки для внутриматочного введения"
"ИНТЕРФЕРОН СВИНОЙ РЕКОМБИНАНТНЫЙ (RECOMBINANT PORCINE INTERFERON) раствор д/инъекций";"Раствор для инъекций"
"ИНТЕРФЕРОН БЫЧИЙ РЕКОМБИНАНТНЫЙ (RECOMBINANT BOVINE INTERFERON) раствор д/инъекций";"Раствор для инъекций"
"ДЕКТОМЕКТИН (DECTOMECTIN) раствор д/инъекций";"Раствор для инъекций"
"ФЕЛИФЕРОН® РАСТВОР ДЛЯ ИНЪЕКЦИЙ (SOLUTIO FELIFERONI PRO INJECTIONIBUS) раствор д/инъекций";"Раствор для инъекций"
"БЕЛКОХЕЛП (BELKOHELP) порошок: , 0.01 %, 0.1 %, 0.17 %, 0.3 %";"Порошок"
"БЕЛКОХЕЛП (BELKOHELP) порошок: 0.01 %, 0.1 %, 0.17 %, 93.5 %";"Порошок"
"8 В 1 ЭКСЕЛЬ ДЕТЕР (8 IN 1 EXCEL DETER) таб.";"Таблетки"
"МЕТАКАМ® (METACAM®) раствор д/инъекций";"Раствор"
"КУСТОВАК® D (CUSTOVAC® D)";"Порошок"
"ИНГЕЛЬВАК® АУЕСКИ MLV (INGELVAC® AUJESZKY MLV)";"Лиофилизированная таблетка"
"ИНГЕЛЬВАК® HP-1 (INGELVAC® HP-1)";"Эмульсия для инъекций"
"ИНГЕЛЬВАК® APPX (INGELVAC® APPX)";"Суспензия для инъекций"
"ИНГЕЛЬВАК ЦиркоФЛЕКС® (INGELVAC CircoFLEX®)";"Суспензия для инъекций"
"ИНГЕЛЬВАК МикоФЛЕКС® (INGELVAC MycoFLEX®)";"Суспензия для инъекций"
"ВОЛЬВАК® АС Плюс+ND+IB+EDS KV (VOLVAC® AC Plus+ND+IB+EDS KV)";"Эмульсия для инъекций"
"ВОЛЬВАК® АС Плюс (VOLVAC® AC Plus)";"Эмульсия для инъекций"
"ВОЛЬВАК® ND+IB+EDS KV (VOLVAC® ND+IB+EDS KV)";"Эмульсия для инъекций"
"ВОЛЬВАК® ND LaSota MLV (VOLVAC® ND LaSota MLV)";"Лиофилизированная масса"
"ВОЛЬВАК® ND Conc. KV (VOLVAC® ND Conc. KV)";"Эмульсия для инъекций"
"ВОЛЬВАК® IBD MLV (VOLVAC® IBD MLV)";"Лиофилизированная масса"
"ВОЛЬВАК® IB Mass MLV (VOLVAC® IB Mass MLV)";"Лиофилизированная масса"
"8 В 1 ЭКСЕЛЬ ПИВНЫЕ ДРОЖЖИ (8 IN 1® EXCEL® BREWER'S YEAST) таб. 0.4 мг";"Таблетки"
"8 В 1 ЭКСЕЛЬ ПИВНЫЕ ДРОЖЖИ (8 IN 1® EXCEL® BREWER'S YEAST) таб. 2.1 мг";"Таблетки"
"8 В 1 ЭКСЕЛЬ МУЛЬТИВИТАМИНЫ ДЛЯ СОБАК МЕЛКИХ ПОРОД (8 IN 1® EXCEL® MULTI VITAMIN - SMALL BREED) таб.";"Таблетки"
"8 В 1 ЭКСЕЛЬ МОБАЙЛ ФЛЕКС ПЛЮС (8 IN 1® EXCEL® MOBILE FLEX(+))";"Порошок для орального применения"
"8 В 1 ЭКСЕЛЬ КАЛЬЦИЙ (8 IN 1® EXCEL® CALCIUM) таб.";"Таблетки"
"8 В 1 ЭКСЕЛЬ ГЛЮКОЗАМИН+МСМ (8 IN 1 EXCEL GLUCOSAMINE+MSM) таб.";"Таблетки"
"8 В 1 ЭКСЕЛЬ ГЛЮКОЗАМИН (8 IN 1 EXCEL GLUCOSAMINE) таб.";"Таблетки"
"БИОСЕПТИН (BIOSEPTIN)";"Мазь для наружного применения"
"ВЕТОМ 4 (VETOM 4)";"Порошок для орального применения"
"ВЕТОМ 3 (VETOM 3)";"Порошок для орального применения"
"ВЕТОМ 2 (VETOM 2)";"Порошок для орального применения"
"ВЕТОМ 1.1 (VETOM 1.1)";"Порошок"
"ГЛИКОПИН® (GLIKOPIN®) таб.";"Таблетки"
"ФОРВЕТ® (FORVET) раствор д/инъекций";"Раствор для инъекций"
"АСД фракция 2 (ASD fraction 2)";"Раствор для наружного, перорального, интравагинального и внутриматочного применения"
