species.name;breeds.name (NOT NULL)
Обезьяны;Камерунский колобус (Piliocolobus preussi)
Обезьяны;Кампучийский гиббон (Hylobates pileatus)
Обезьяны;Капуцин-каапори (Cebus kaapori)
Обезьяны;Капюшонный гульман (Trachypithecus johnii)
Обезьяны;Карликовый гиббон (Hylobates klossii)
Обезьяны;Карликовый долгопят (Tarsius pumilus)
Обезьяны;Карликовый лемур
Обезьяны;Карликовый лемур Кокерела (Mirza coquereli )
Обезьяны;Карликовый мышиный лемур (Microcebus myoxinus )
Обезьяны;Карликовый мышиный лемур (Microcebus myoxinus)
Обезьяны;Коата Жоффруа (Ateles geoffroyi)
Обезьяны;Коибский ревун (Alouatta coibensis)
Обезьяны;Колобус Кирка (Piliocolobus kirkii )
Обезьяны;Колумбийская коата (Ateles hybridus)
Обезьяны;Колумбийская шерстистая обезьяна (Lagothrix lugens)
Обезьяны;Колумбийский ревун (Alouatta palliata)
Обезьяны;Кольцехвостый  лемур
Обезьяны;Коричневый мышиный лемур (Microcebus rufus)
Обезьяны;Королевский колобус (Colobus polykomos)
Обезьяны;Коронованная мартышка (Cercopithecus mitis)
Обезьяны;Краснобрюхая мартышка (Cercopithecus erythrogaster)
Обезьяны;Краснобрюхий тамарин (Saguinus labiatus)
Обезьяны;Краснолицая коата (Ateles paniscus)
Обезьяны;Краснолицый гульман (Trachypithecus vetulus)
Обезьяны;Краснолобый лемур (Eulemur rufus)
Обезьяны;Краснорукий ревун (Alouatta belzebul)
Обезьяны;Краснорукий тамарин (Saguinus midas)
Обезьяны;Красноспинный саки (Chiropotes albinasus)
Обезьяны;Краснохвостая мартышка (Cercopithecus ascanius)
Обезьяны;Краснохвостый лемур (Lepilemur ruficaudatus)
Обезьяны;Краснохохлый колобус (Piliocolobus tholloni)
Обезьяны;Красный колобус (Piliocolobus badius)
Обезьяны;Красный колобус(Piliocolobus epieni)
Обезьяны;Красный колобус(Piliocolobus foai)
Обезьяны;Красный колобус(Piliocolobus gordonorum)
Обезьяны;Красный колобус(Piliocolobus rufomitratus)
Обезьяны;Красный колобус(Piliocolobus tephrosceles)
Обезьяны;Красный лангур (Presbytis rubicunda)
