Текущий вид;Текущая порода;Новый вид;Новая порода;Комментарий;;
собаки;немецкий вольфшпиц;Собаки;Вольфшпиц;;;
собаки;немецкий дог;Собаки;НЕМЕЦКИЙ ДОГ ;;;
собаки;немецкий карликовый шпиц;Собаки;НЕМЕЦКИЙ ШПИЦ ;;;
собаки;немецкий шпиц;Собаки;НЕМЕЦКИЙ ШПИЦ ;;;
собаки;нивернейский гриффон;Собаки;Нивернесский гриффон;;;
собаки;новошотландский ретривер;Собаки;Новошотландский утиный ретривер;;;
собаки;норботтен шпиц;Собаки;Норботеншпиц;;;
собаки;норвежский элкхаунд;Собаки;НОРВЕЖСКИЙ ЭЛЬГХУНД ;;;
собаки;норвич-терьер;Собаки;НОРВИЧ ТЕРЬЕР ;;;
собаки;норфолк терьер;Собаки;НОРФОЛК ТЕРЬЕР ;;;
собаки;ньюфаундленд;Собаки;НЬЮФАУНДЛЕНД ;;;
собаки;орхидея петербургская;Собаки;Петербургская орхидея;;;
собаки;палевый бретонский бассет-гриффо;Собаки;Бретонский рыжеватый гриффон;;;
собаки;папильон;Собаки;Папильон (папийон) ;;;
собаки;паттердейл-терьер;Собаки;Паттердейл-терьер;;;
собаки;пекинес;Собаки;ПЕКИНЕС ;;;
собаки;пекиньу поденгу португезу;Собаки;Португальский поденго (гладкошерстный);;;
собаки;перуанская орхидея инков;Собаки;Перуанская голая собака (средняя);;;
собаки;пинчер;Собаки;Пинчер (черноподпалый);;;
собаки;пинчер миниатюрный;Собаки;Карликовый пинчер;;;
собаки;пиринейская овчарка;Собаки;Пиренейская овчарка длинношерстная;;;
собаки;пиринейский мастиф;Собаки;Мастин де лос пиренеос;;;
собаки;подгальянская овчарка;Собаки;Польская подгалянская овчарка (Podhalaner);;;
собаки;поденгу ибисенко, ибисская собака;Собаки;ПОДЕНКО ИБИЦЕНКО Г-Ш ;;;
собаки;помераниан;Собаки;Померанский шпиц ;;;
собаки;померанский шпиц;Собаки;Померанский шпиц ;;;
