"ВетАС Вид id","ВетАС Вид name","ВетАС Порода id","ВетАС Порода","ВетАС pets_count","AnimalId вид id","AnimalId вид name","AnimalId порода id","AnimalId порода","filter","exclude","Комментарий",,"редактировала ","не нашла в AnimalId"
25,"собаки",975,"хортая",1,1,"Собаки",2298,"Хортая борзая","f","f",,,,
25,"собаки",979,"чешский фоусек",1,1,"Собаки",311,"Чешский терьер","f","f",,,,
25,"собаки",785,"шапендус",1,1,"Собаки",314,"Шапендуа","f","f",,,,
25,"собаки",982,"швайсхунд",1,1,"Собаки","?","?","f","t","в  AnimalID отсутствует порода ","ТАКОЙ ПОРОДЫ НЕ СУЩЕСТВУЕТ",,
25,"собаки",797,"шиллерстёваре",1,1,"Собаки",100,"Гончая шиллера","f","f",,,,
25,"собаки",700,"шотландский дирхаунд",1,1,"Собаки",106,"Дирхаунд","f","f",,,,
25,"собаки",988,"югославская грехцветная гончая",1,1,"Собаки",329,"Югославский трехцветный гонич","f","f",,,,
25,"собаки",641,"японский спаниель",1,1,"Собаки",2326,"Японский спаниель","f","f","верно ли выбрана порода?","нет",,
25,"собаки",719,"английский фоксхаунд",2,1,"Собаки",2275,"Английский фоксхаунд","f","f",,,,
25,"собаки",723,"армант, египетская овчарка",2,1,"Собаки",2327,"Египетская овчарка (армант)","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",725,"артуазская гончая",2,1,"Собаки",325,"Шьен Д'артуа (Артуазская гончая)","f","f",,,,
25,"собаки",732,"баскетмейкер",2,1,"Собаки",2129,"Баскетмейкер","f","f",,,,
25,"собаки",764,"бурбонский брак",2,1,"Собаки",74,"Бурбонский бракк","f","f",,,,
25,"собаки",779,"ганноверская гончая",2,1,"Собаки",91,"Ганноверская гончая","f","f",,,,
25,"собаки",780,"герта пойнтер",2,1,"Собаки",2328,"Герта-пойнтер","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",794,"гончая плотта",2,1,"Собаки",2265,"Гончая Плотта (кунхаунд Плотта)","f","f",,,,
25,"собаки",799,"греческая заячья гончая",2,1,"Собаки",2329,"Греческая заячья гончая","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",800,"греческая овчарка",2,1,"Собаки",2330,"Греческая овчарка","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",807,"древесная тенессийская тигровая",2,1,"Собаки",2310,"Древесная теннессийская тигровая","f","f","в  AnimalID отсутствует порода ",,,
25,"собаки",814,"ирландский красно-белый сеттер",2,1,"Собаки",777,"Ирландский красный и белый сеттер","f","f",,,,
25,"собаки",815,"исландская собака",2,1,"Собаки",122,"Исландская собака","f","f","в  AnimalID отсутствует порода ",,,
