ID;NameClinic;AdmArea;District;Address;AssignedRegistrationNumberCertificate;ValidityCertificate;Comments;global_id
153;ООО «Тигренок-Вет»;Южный административный округ;район Нагатинский Затон;город Москва, Судостроительная улица, дом 18, корпус 5;77- 08-190;17.10.2040;;903874496
154;ООО «Зоосити-5»;Южный административный округ;район Орехово-Борисово Южное;Российская Федерация, город Москва, внутригородская территория муниципальный округ Орехово-Борисово Южное, Воронежская улица, дом 7;77-08-182;14.09.2044;;903874497
155;ООО «Дельта-Вет»;Южный административный округ;район Бирюлёво Западное;город Москва, Булатниковский проезд, дом 14, корпус 7;77-08-305;11.04.2040;;903874523
157;АрсВит;Южный административный округ;Даниловский район;Российская Федерация, город Москва, внутригородская территория муниципальный округ Даниловский, Хавская улица, дом 24;77-08-097;12.10.2040;;903874526
158;ООО «БелАнта»;Южный административный округ;район Братеево;город Москва, Братеевская улица, дом 16, корпус 3;77-08-001;14.12.2040;;903874529
159;ООО «ВЕТМИР»;Южный административный округ;район Зябликово;город Москва, улица Мусы Джалиля, дом 7, корпус 1;77-08-117;18.12.2022;;903874563
160;ООО Центр ветеринарной медицины «АВЕТУРА»;Южный административный округ;район Москворечье-Сабурово;город Москва, Кантемировская улица, дом 16, корпус 1;77-08-437;22.03.2023;;903874633
161;ООО «Гав здрав»;Южный административный округ;район Чертаново Центральное;город Москва, Днепропетровская улица, дом 14;77-08-124;29.08.2040;;903874635
162;ООО Сеть ветеринарных клиник Свой Доктор Филиал Чертаново;Южный административный округ;район Чертаново Южное;город Москва, Россошанская улица, дом 4, корпус 1;77-08-281;19.10.2040;;903874637
163;ООО «Зоостатус»;Южный административный округ;район Чертаново Северное;город Москва, Варшавское шоссе, дом 125, строение 1;77-08-294;14.12.2040;;903874641
164;Близнецы-Вет;Юго-Восточный административный округ;район Выхино-Жулебино;город Москва, улица Авиаконструктора Миля, дом 2, корпус 1;77-09-011;01.01.2040;;903874700
165;ДоггиДок;Юго-Восточный административный округ;район Выхино-Жулебино;город Москва, Привольная улица, дом 2, строение 1;77-09-133;12.12.2041;;903874798
