"МАКСИДИН 0,4 (MAXIDIN 0,4) раствор д/инъекций";"натрия хлорид, моноэтаноламин, вода д/и."
"ФИПРИСТ® СПОТ ОН (FYPRYST® SPOT ON) раствор д/наружного применения";"повидон, полисорбат, бутилгидроксианизол, бутилгидротолуен, диметилсульфоксид."
"ЭНРОКСИЛ® МАКС (ENROXIL® MAX) раствор д/инъекций";"бензиловый спирт, бутиловый спирт, аргинин, вода д/и."
"ГЕНТАМИЦИН ПОРОШОК (GENTAMICIN PULVIS)";"кремний коллоидный безводный, лактоза."
"ТИАВАЛТ® (TYAWALT®)";"лактозы моногидрат - до 1 г."
"РИКАРФА® ТАБЛЕТКИ СО ВКУСОМ МЯСА (RYCARFA® TABLETS WITH MEAT FLAVOUR) 20 мг";"лактозы моногидрат, крахмал кукурузный, железа оксид красный, железа оксид черный, поливидон К30, натрия крахмала гликолят, ароматизатор с запахом мяса 10022, кремния ангидрид коллоидный, тальк, магния стеарат."
"РИКАРФА® ТАБЛЕТКИ СО ВКУСОМ МЯСА (RYCARFA® TABLETS WITH MEAT FLAVOUR) 50 мг";"лактозы моногидрат, крахмал кукурузный, железа оксид красный, железа оксид черный, поливидон К30, натрия крахмала гликолят, ароматизатор с запахом мяса 10022, кремния ангидрид коллоидный, тальк, магния стеарат."
"РИКАРФА® ТАБЛЕТКИ СО ВКУСОМ МЯСА (RYCARFA® TABLETS WITH MEAT FLAVOUR) 100 мг";"лактозы моногидрат, крахмал кукурузный, железа оксид красный, железа оксид черный, поливидон К30, натрия крахмала гликолят, ароматизатор с запахом мяса 10022, кремния ангидрид коллоидный, тальк, магния стеарат."
"МИЗОКСИН (MISOXIN)";"винная кислота - до 1 г."
"МАРФЛОКСИН® 10% РАСТВОР ДЛЯ ИНЪЕКЦИЙ (MARFLOXIN® 10% SOLUTION FOR INJECTION) раствор д/инъекций";"метакрезол, динатрия эдетат, монотиоглицерол, глюконолактон, вода д/и."
"МАРФЛОКСИН® 2% РАСТВОР ДЛЯ ИНЪЕКЦИЙ (MARFLOXIN® 2% SOLUTION FOR INJECTION) раствор д/инъекций";"глюконолактон - 16 мг, динатрия эдетат - 0.1 мг, маннитол - 30 мг, метакрезол - 2 мг, монотиоглицерол - 0.5 мг, вода д/и - до 1 мл."
"МАРФЛОКСИН® ТАБЛЕТКИ (MARFLOXIN® TABLETS) 5 мг";"лактозы моногидрат, повидон, кросповидон, магния стеарат, ароматизатор мясной, масло касторовое гидрогенизированное, порошок дрожжевой, кремния диоксид коллоидный безводный."
"МАРФЛОКСИН® ТАБЛЕТКИ (MARFLOXIN® TABLETS) 20 мг";"лактозы моногидрат, повидон, кросповидон, магния стеарат, ароматизатор мясной, масло касторовое гидрогенизированное, порошок дрожжевой, кремния диоксид коллоидный безводный."
"МАРФЛОКСИН® ТАБЛЕТКИ (MARFLOXIN® TABLETS) 80 мг";"лактозы моногидрат, повидон, кросповидон, магния стеарат, ароматизатор мясной, масло касторовое гидрогенизированное, порошок дрожжевой, кремния диоксид коллоидный безводный."
"АМАТИБ 80% ВОДОРАСТВОРИМЫЙ ПОРОШОК (AMATIB 80% WATER SOLUBLE POWDER)";"натрия карбоната моногидрат, натрия цитрат, кремния ангидрид коллоидный."
"ДЕХИНЕЛ® ПЛЮС (DEHINEL® PLUS)";"лактозы моногидрат, крахмал кукурузный, повидон К30, натрия лаурилсульфат, целлюлоза микрокристаллическая, кремния коллоидный ангидрид, магния стеарат."
"ДЕХИНЕЛ® ПЛЮС ТАБЛЕТКИ СО ВКУСОМ МЯСА (DEHINEL® PLUS TABLETS WITH MEAT FLAVOUR)";"лактозы моногидрат, крахмал кукурузный, повидон К30, натрия лаурилсульфат, целлюлоза микрокристаллическая, кремния коллоидный ангидрид, магния стеарат, ароматическая добавка со вкусом мяса Aroma Meat Flavour 10022."
"ТОЛТАРОКС® (TOLTAROX®)";"докузат натрия, симетикона эмульсия, натрия бензоат, пропионат натрия, пропиленгликоль, бентонит, ксантановая камедь, лимонная кислота, вода дистиллированная."
"ЛАВЕТА СУПЕР ДЛЯ СОБАК (LAVETA SUPER FOR DOG) жидкость";"кремофор EL - 140 г/л, молочная кислота - 2.28 г/л, фосфорная кислота - 14.5 г/л, калия сорбат - 1.03 г/л, вода - до 1 л."
"ЭКОЦИД С (ECOCID S)";"натрия додецилбензил сульфонат, органические кислоты, неорганические буферные системы (натрия хлорид, натрия полифосфат), краситель, отдушка цитрусовая."
"ЭКОЦИД (ECOCID)";"смесь поверхностно-активных веществ, неорганические буферные системы, стабилизирующие вещества, отдушка."
"КАПЛИ VERMICON LINE-ON-IMMOSHIELD ОТ ПАРАЗИТОВ (ANTIPARASITIC DROPS VERMICON LINE-ON-IMMOSHIELD) капли";"масло эвкалипта, сосны и мяты перечной; отдушка - 10 г/л."
"ЛАКТИС ЗОО (LACTIS ZOO) жидкость";"молочная кислота, неотам, натуральная минеральная вода."
